dataset,source_id,norm_category,raw_category,raw_problem_type,original_number,perturbed_number,changed_start,changed_end,orig_decoded_token,pert_decoded_token,local_context,original_problem,perturbed_problem,judge_label,judge_reason
smt_2025,20,geometry,,['Combinatorics'],2,3,240,241,ethe,ethe,"quares $s_{1}$; one is chosen out of these four uniformly at random. Choose $s_{2}$ in the same manner (so that it has a side which is a diagonal of $s_{1}$ ), a","Let $s_{0}$ be a square. One diagonal of $s_{0}$ is chosen, and a square $s_{1}$ is drawn with this diagonal as one of its sides. There are four possible such squares $s_{1}$; one is chosen out of these four uniformly at random. Choose $s_{2}$ in the same manner (so that it has a side which is a diagonal of $s_{1}$ ), and continue similarly with $s_{3}, s_{4}, \ldots$. Let $p\left(s_{n}\right)$ be the probability that square $s_{n}$ shares an interior with $s_{0}$ (in other words, the area of their intersection is positive). Compute the value that $p\left(s_{n}\right)$ approaches as $n$ approaches infinity.","Let $s_{0}$ be a square. One diagonal of $s_{0}$ is chosen, and a square $s_{1}$ is drawn with this diagonal as one of its sides. There are four possible such squares $s_{1}$; one is chosen out of these four uniformly at random. Choose $s_{3}$ in the same manner (so that it has a side which is a diagonal of $s_{1}$ ), and continue similarly with $s_{3}, s_{4}, \ldots$. Let $p\left(s_{n}\right)$ be the probability that square $s_{n}$ shares an interior with $s_{0}$ (in other words, the area of their intersection is positive). Compute the value that $p\left(s_{n}\right)$ approaches as $n$ approaches infinity.",,
smt_2025,47,algebra,,['Algebra'],44,45,92,94,with,with,sum of the real roots of $\left(x^{2}+16 x+48\right)\left(x^{2}+24 x+128\right)=44^{2^{2025}}$. (Roots are counted with multiplicity.),Compute the sum of the real roots of $\left(x^{2}+16 x+48\right)\left(x^{2}+24 x+128\right)=44^{2^{2025}}$. (Roots are counted with multiplicity.),Compute the sum of the real roots of $\left(x^{2}+16 x+48\right)\left(x^{2}+24 x+128\right)=45^{2^{2025}}$. (Roots are counted with multiplicity.),,
smt_2024,37,counting_and_probability,General,[],5,6,77,78,acho,acho,"Nacho is building a sandcastle . Each time he adds a scoop of sand, he has a 5 6 chance that the sandcastle will increase by 1 inch in height. Nacho is a clum","Nacho is building a sandcastle . Each time he adds a scoop of sand, he has a 5 6 chance that the sandcastle will increase by 1 inch in height. Nacho is a clumsy engineer , so each time the height doesn’t increase , the sandcastle topples and loses 1 3 of its current height. Suppose Nacho starts his sandcastle at height H . What H should he choose so that after any number of scoops, the expected height of his sandcastle is still H ?","Nacho is building a sandcastle . Each time he adds a scoop of sand, he has a 6 6 chance that the sandcastle will increase by 1 inch in height. Nacho is a clumsy engineer , so each time the height doesn’t increase , the sandcastle topples and loses 1 3 of its current height. Suppose Nacho starts his sandcastle at height H . What H should he choose so that after any number of scoops, the expected height of his sandcastle is still H ?",,
smt_2024,51,counting_and_probability,Discrete,[],6,7,102,103,",and",",and","magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, ","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 7 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?",,
smt_2024,33,unknown_general_or_guts,General,[],5,6,79,80,can,can,"Jana is decorating her room by hanging zero or more strings of lights. She has 5 collinear attachment points ( A, B, C, D , and E), and she can connect any two ","Jana is decorating her room by hanging zero or more strings of lights. She has 5 collinear attachment points ( A, B, C, D , and E), and she can connect any two attachment points with a semicircular string of lights ( direction hanging downward), as long as no two strings cross. In how many different patterns can she hang the lights?","Jana is decorating her room by hanging zero or more strings of lights. She has 6 collinear attachment points ( A, B, C, D , and E), and she can connect any two attachment points with a semicircular string of lights ( direction hanging downward), as long as no two strings cross. In how many different patterns can she hang the lights?",,
smt_2024,51,counting_and_probability,Discrete,[],5,6,98,99,"""""","""""","ith magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" si","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 6 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?",,
smt_2025,11,geometry,,['Combinatorics'],3,4,63,64,used,used,"The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the","The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
","The boxes in the expression below are filled with the numbers $4,4,5,6$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
",,
smt_2025,11,geometry,,['Combinatorics'],6,7,69,70,actly,actly,"The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the expre","The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
","The boxes in the expression below are filled with the numbers $3,4,5,7$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
",,
smt_2024,55,counting_and_probability,Discrete,[],2,3,10,11,staking,staking,"There are 2 n students taking an exam, and at the beginning they all put their phones into ","There are 2 n students taking an exam, and at the beginning they all put their phones into a pile . When leaving, each person takes an arbitrary phone from the pile . Unfortunately , it might be the case that some students did not get back their own phone! To get back the correct phones, the students come up with the following strategy . They repeat the following round as many times as needed:","There are 3 n students taking an exam, and at the beginning they all put their phones into a pile . When leaving, each person takes an arbitrary phone from the pile . Unfortunately , it might be the case that some students did not get back their own phone! To get back the correct phones, the students come up with the following strategy . They repeat the following round as many times as needed:",,
smt_2025,53,algebra,,['Algebra'],6,7,22,23,(x,(x,"Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions f","Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20$ times, and let $R(a, b, c)$ be the number of distinct roots over all functions in $S(a, b, c)$. Compute the second smallest possible value of $R(a, b, c)$ as $a, b, c$ range over all reals.","Let $f(x)=4 x+a, g(x)=7 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20$ times, and let $R(a, b, c)$ be the number of distinct roots over all functions in $S(a, b, c)$. Compute the second smallest possible value of $R(a, b, c)$ as $a, b, c$ range over all reals.",,
smt_2024,4,algebra,Algebra,[],7,8,36,37,cdot,cdot,Compute 5 1 \cdot 2 \cdot 3 \cdot 4+7 2 \cdot 3 \cdot 4 \cdot 5+ … +99 48 \cdot 49 \cdot 50 \cdot 51.,Compute 5 1 \cdot 2 \cdot 3 \cdot 4+7 2 \cdot 3 \cdot 4 \cdot 5+ … +99 48 \cdot 49 \cdot 50 \cdot 51.,Compute 5 1 \cdot 2 \cdot 3 \cdot 4+8 2 \cdot 3 \cdot 4 \cdot 5+ … +99 48 \cdot 49 \cdot 50 \cdot 51.,,
smt_2025,51,algebra,,['Algebra'],6,7,82,83,olar,olar,"t $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{7}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.",,
smt_2024,14,reject_calculus_no_clean_hendricks_match,Calculus,[],6,7,241,242,ouch,ouch,"ne) is attached to the bottom ladder at ( 2 , 2 ) and touches the wall at ( 0 , 6 ) . This pair of ladders begins to slide down the wall, such that the top ladde","Consider the pair of ladders shown in the below image . The bottom ladder ( dashed line) connects the points ( 0 , 4 ) and ( 4 , 0 ) . The top ladder ( dotted line) is attached to the bottom ladder at ( 2 , 2 ) and touches the wall at ( 0 , 6 ) . This pair of ladders begins to slide down the wall, such that the top ladder remains attached to the midpoint of the bottom ladder . When the bottom ladder touches the wall at the point ( 0 , 2 ) , the end at which it touches the wall is moving downward at the rate of 2 units per second. At that point in time , what is the rate at which the wall end of the top ladder is moving downward, in units per second?","Consider the pair of ladders shown in the below image . The bottom ladder ( dashed line) connects the points ( 0 , 4 ) and ( 4 , 0 ) . The top ladder ( dotted line) is attached to the bottom ladder at ( 2 , 2 ) and touches the wall at ( 0 , 7 ) . This pair of ladders begins to slide down the wall, such that the top ladder remains attached to the midpoint of the bottom ladder . When the bottom ladder touches the wall at the point ( 0 , 2 ) , the end at which it touches the wall is moving downward at the rate of 2 units per second. At that point in time , what is the rate at which the wall end of the top ladder is moving downward, in units per second?",,
smt_2025,42,unknown_general_or_guts,,['Combinatorics'],3,4,83,84,Not,Not," $S$ be the set of all strings of length $15$ formed from five $1$s, $2$s, and $3$s. Say a string in $S$ is threnodic if:

\begin{itemize}
\item No two adjacent ","Let $S$ be the set of all strings of length $15$ formed from five $1$s, $2$s, and $3$s. Say a string in $S$ is threnodic if:

\begin{itemize}
\item No two adjacent characters are the same, and
\item Through a sequence of removals of contiguous substrings $123,231$, and $312$, the string can be deleted (note that the intermediate strings can have adjacent equal characters).
\end{itemize}

Compute the number of threnodic strings in $S$.","Let $S$ be the set of all strings of length $15$ formed from five $1$s, $2$s, and $4$s. Say a string in $S$ is threnodic if:

\begin{itemize}
\item No two adjacent characters are the same, and
\item Through a sequence of removals of contiguous substrings $123,231$, and $312$, the string can be deleted (note that the intermediate strings can have adjacent equal characters).
\end{itemize}

Compute the number of threnodic strings in $S$.",,
smt_2025,33,geometry,,['Geometry'],5,6,38,39,hat,hat,"Alice has four sticks of lengths $3,3,5$, and $x$. She notices that it is possible to make a cyclic quadrilateral by jo","Alice has four sticks of lengths $3,3,5$, and $x$. She notices that it is possible to make a cyclic quadrilateral by joining these sticks at their endpoints, and no matter how she makes this cyclic quadrilateral, it always has a diagonal of length $6$. Compute $x$.","Alice has four sticks of lengths $3,3,6$, and $x$. She notices that it is possible to make a cyclic quadrilateral by joining these sticks at their endpoints, and no matter how she makes this cyclic quadrilateral, it always has a diagonal of length $6$. Compute $x$.",,
smt_2024,70,number_theory,Guts,[],32,33,150,152,that,that,"… p_{a_k} k , we let f ( n ) = \sumk i = 1pi ai . For example , since 9 0 = 21· 32· 51, we have f ( 9 0 ) = 2 · 1 + 3 · 2 + 5 · 1 = 1 3 . Let m be the minimum val","For any integer n \geq 2 , with prime factorization n = p_a1 1 pa^2 2 … p_{a_k} k , we let f ( n ) = \sumk i = 1pi ai . For example , since 9 0 = 21· 32· 51, we have f ( 9 0 ) = 2 · 1 + 3 · 2 + 5 · 1 = 1 3 . Let m be the minimum value that f ( n ) can take on for all integers n > 2024 . Find the smallest integer k \geq 2 such that f ( k ) = m .","For any integer n \geq 2 , with prime factorization n = p_a1 1 pa^2 2 … p_{a_k} k , we let f ( n ) = \sumk i = 1pi ai . For example , since 9 0 = 21· 33· 51, we have f ( 9 0 ) = 2 · 1 + 3 · 2 + 5 · 1 = 1 3 . Let m be the minimum value that f ( n ) can take on for all integers n > 2024 . Find the smallest integer k \geq 2 such that f ( k ) = m .",,
smt_2024,75,geometry,Guts,[],7,8,62,63,by,by,Consider cutting the ellipse y2+x^2/9= 1 by the line y =\sqrt{7} x + 4 . What is the largest area bounded by the ellipse and the line?,Consider cutting the ellipse y2+x^2/9= 1 by the line y =\sqrt{7} x + 4 . What is the largest area bounded by the ellipse and the line?,Consider cutting the ellipse y2+x^2/9= 1 by the line y =\sqrt{8} x + 4 . What is the largest area bounded by the ellipse and the line?,,
smt_2024,76,unknown_general_or_guts,Guts,[],8,9,22,23,below,below,Consider the 4 \times 8 grid of points below that represents the Stanford campus. Stanford has develope,"Consider the 4 \times 8 grid of points below that represents the Stanford campus. Stanford has developed a way to teleport Main Quad (represented by the rectangle on the lattice) anywhere on campus such that 4 points are contained within the rectangle and none of these points are dorms (the dimensions of Main Quad remain the same as in the figure). The bottom-left and top-right corners of the grid are dorms. St anford Ma th Tournament Guts April 13, 2024 Abby wants to bike from Schiff to Lantana, but does not want to pass through any points in Main Quad. If Abby only moves from one lattice point to another in the up and right directions ( and Main Quad does not move as she bikes), compute the sum of the number of paths she can take for all possible positions of Main Quad.","Consider the 4 \times 9 grid of points below that represents the Stanford campus. Stanford has developed a way to teleport Main Quad (represented by the rectangle on the lattice) anywhere on campus such that 4 points are contained within the rectangle and none of these points are dorms (the dimensions of Main Quad remain the same as in the figure). The bottom-left and top-right corners of the grid are dorms. St anford Ma th Tournament Guts April 13, 2024 Abby wants to bike from Schiff to Lantana, but does not want to pass through any points in Main Quad. If Abby only moves from one lattice point to another in the up and right directions ( and Main Quad does not move as she bikes), compute the sum of the number of paths she can take for all possible positions of Main Quad.",,
smt_2025,31,counting_and_probability,,['Combinatorics'],3,4,166,167,if,if,stale and one additional egg is rotten. The recipe requires the Tree to choose $3$ eggs from the lot. A combination is called bad if it contains at least one sta,"The Stanford Tree buys $15$ eggs to bake a cake. Unfortunately, $n$ of these eggs are stale and one additional egg is rotten. The recipe requires the Tree to choose $3$ eggs from the lot. A combination is called bad if it contains at least one stale egg and no rotten eggs and awful if it contains the rotten egg (even if no other eggs are stale). Let $x$ denote the number of bad combinations and $y$ denote the number of awful combinations. Given that the ratio of $x$ to $y$ is $40: 13$, compute $n$.","The Stanford Tree buys $15$ eggs to bake a cake. Unfortunately, $n$ of these eggs are stale and one additional egg is rotten. The recipe requires the Tree to choose $4$ eggs from the lot. A combination is called bad if it contains at least one stale egg and no rotten eggs and awful if it contains the rotten egg (even if no other eggs are stale). Let $x$ denote the number of bad combinations and $y$ denote the number of awful combinations. Given that the ratio of $x$ to $y$ is $40: 13$, compute $n$.",,
smt_2025,51,algebra,,['Algebra'],3,4,106,107,in,in,"complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ th","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{4}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.",,
smt_2025,27,geometry,,['Geometry'],5,6,270,271,_{,_{,"_{i} A_{i} C_{i}=30^{\circ}$ for $1 \leq i \leq 3$, where $A_{4}=A_{1}$ and $A_{5}=A_{2}$. For $1 \leq i \leq 3$, let $D_{i}$ be the intersection of $\overline{A","Triangle $\triangle A_{1} A_{2} A_{3}$ has side lengths $A_{1} A_{2}=13$, $A_{2} A_{3}=14, A_{3} A_{1}=15$. Points $B_{i}$ and $C_{i}$ lie on $\overline{A_{i+1} A_{i+2}}$ such that $\angle B_{i} A_{i} C_{i}=30^{\circ}$ for $1 \leq i \leq 3$, where $A_{4}=A_{1}$ and $A_{5}=A_{2}$. For $1 \leq i \leq 3$, let $D_{i}$ be the intersection of $\overline{A_{i} B_{i}}$ and $\overline{A_{i+1} C_{i+1}}$ and $E_{i}$ the intersection of $\overline{A_{i} C_{i}}$ and $\overline{A_{i+1} B_{i+1}}$, where $A_{4}=$ $A_{1}, B_{4}=B_{1}, C_{4}=C_{1}$. If $D_{1} E_{3} D_{2} E_{1} D_{3} E_{2}$ forms a convex hexagon with an inscribed circle of radius $r$, compute $r$.","Triangle $\triangle A_{1} A_{2} A_{3}$ has side lengths $A_{1} A_{2}=13$, $A_{2} A_{3}=14, A_{3} A_{1}=15$. Points $B_{i}$ and $C_{i}$ lie on $\overline{A_{i+1} A_{i+2}}$ such that $\angle B_{i} A_{i} C_{i}=30^{\circ}$ for $1 \leq i \leq 3$, where $A_{4}=A_{1}$ and $A_{6}=A_{2}$. For $1 \leq i \leq 3$, let $D_{i}$ be the intersection of $\overline{A_{i} B_{i}}$ and $\overline{A_{i+1} C_{i+1}}$ and $E_{i}$ the intersection of $\overline{A_{i} C_{i}}$ and $\overline{A_{i+1} B_{i+1}}$, where $A_{4}=$ $A_{1}, B_{4}=B_{1}, C_{4}=C_{1}$. If $D_{1} E_{3} D_{2} E_{1} D_{3} E_{2}$ forms a convex hexagon with an inscribed circle of radius $r$, compute $r$.",,
smt_2024,80,counting_and_probability,Guts,[],15,16,24,26,where,where,"Frank composes a random 15-note melody where each note is either A, B, or C. What is the probability that ","Frank composes a random 15-note melody where each note is either A, B, or C. What is the probability that no sequence of 5 consecutive notes occurs more than once in the melody he composes? (For example , in the melody ABCABCABCABCABC the sequence ABCAB occurs more than once .) For an estimate of E , you will get max ( 0 , 2 5 − \lceil 5 0 0 | E − X | \rceil ) points, where X is the true answer .","Frank composes a random 16-note melody where each note is either A, B, or C. What is the probability that no sequence of 5 consecutive notes occurs more than once in the melody he composes? (For example , in the melody ABCABCABCABCABC the sequence ABCAB occurs more than once .) For an estimate of E , you will get max ( 0 , 2 5 − \lceil 5 0 0 | E − X | \rceil ) points, where X is the true answer .",,
