target word,Sentence,acc_subs,unacc_subs,prof_acc_subs,prof_unacc_subs,t_words_cefr,prof_acc_cefr,prof_unacc_cefr,clean_sentence,target_clean,substitute,source_row_idx,dataset,target1,substitute1,target1_offset,target1_end,target2_options_json,num_target2_options,num_total_candidates2,target2,substitute2,target2_offset,target2_end,target2_pos,target2_selection_status,target2_selection_reason,sentence_with_substitute1,sentence_with_both_substitutions,reject_reason
technology,"First, with the **technology** available these days, it is very easy to make animations or make pictures better.","['equipment', 'tools', 'devices']","['machinery', 'hardware']","['equipment', 'tools', 'devices']",[],1,"[1, 1, 1]",[],"First, with the technology available these days, it is very easy to make animations or make pictures better.",technology,equipment,116,prolex,technology,equipment,16,26,"[{""target2"": ""First"", ""target2_offset"": 0, ""target2_end"": 5, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Firstly""]}, {""target2"": ""available"", ""target2_offset"": 27, ""target2_end"": 36, ""target2_pos"": ""JJ"", ""target2_rank"": 5, ""candidates"": [""usable""]}, {""target2"": ""days"", ""target2_offset"": 43, ""target2_end"": 47, ""target2_pos"": ""NNS"", ""target2_rank"": 7, ""candidates"": [""years""]}, {""target2"": ""very"", ""target2_offset"": 55, ""target2_end"": 59, ""target2_pos"": ""RB"", ""target2_rank"": 11, ""candidates"": [""real"", ""really""]}, {""target2"": ""easy"", ""target2_offset"": 60, ""target2_end"": 64, ""target2_pos"": ""JJ"", ""target2_rank"": 12, ""candidates"": [""prosperous"", ""soft"", ""light"", ""loose"", ""gentle"", ""comfortable""]}]",5,11,First,Firstly,0,5,RB,selected_conservative,Selected 'Firstly' for 'First' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"First, with the equipment available these days, it is very easy to make animations or make pictures better.","Firstly, with the equipment available these days, it is very easy to make animations or make pictures better.",target2_starts_at_offset_0
technology,"First, with the **technology** available these days, it is very easy to make animations or make pictures better.","['equipment', 'tools', 'devices']","['machinery', 'hardware']","['equipment', 'tools', 'devices']",[],1,"[1, 1, 1]",[],"First, with the technology available these days, it is very easy to make animations or make pictures better.",technology,tools,117,prolex,technology,tools,16,26,"[{""target2"": ""First"", ""target2_offset"": 0, ""target2_end"": 5, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Firstly""]}, {""target2"": ""available"", ""target2_offset"": 27, ""target2_end"": 36, ""target2_pos"": ""JJ"", ""target2_rank"": 5, ""candidates"": [""usable""]}, {""target2"": ""days"", ""target2_offset"": 43, ""target2_end"": 47, ""target2_pos"": ""NNS"", ""target2_rank"": 7, ""candidates"": [""years""]}, {""target2"": ""very"", ""target2_offset"": 55, ""target2_end"": 59, ""target2_pos"": ""RB"", ""target2_rank"": 11, ""candidates"": [""real"", ""really""]}, {""target2"": ""easy"", ""target2_offset"": 60, ""target2_end"": 64, ""target2_pos"": ""JJ"", ""target2_rank"": 12, ""candidates"": [""prosperous"", ""soft"", ""light"", ""loose"", ""gentle"", ""comfortable""]}]",5,11,First,Firstly,0,5,RB,selected_conservative,Selected 'Firstly' for 'First' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"First, with the tools available these days, it is very easy to make animations or make pictures better.","Firstly, with the tools available these days, it is very easy to make animations or make pictures better.",target2_starts_at_offset_0
technology,"First, with the **technology** available these days, it is very easy to make animations or make pictures better.","['equipment', 'tools', 'devices']","['machinery', 'hardware']","['equipment', 'tools', 'devices']",[],1,"[1, 1, 1]",[],"First, with the technology available these days, it is very easy to make animations or make pictures better.",technology,devices,118,prolex,technology,devices,16,26,"[{""target2"": ""First"", ""target2_offset"": 0, ""target2_end"": 5, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Firstly""]}, {""target2"": ""available"", ""target2_offset"": 27, ""target2_end"": 36, ""target2_pos"": ""JJ"", ""target2_rank"": 5, ""candidates"": [""usable""]}, {""target2"": ""days"", ""target2_offset"": 43, ""target2_end"": 47, ""target2_pos"": ""NNS"", ""target2_rank"": 7, ""candidates"": [""years""]}, {""target2"": ""very"", ""target2_offset"": 55, ""target2_end"": 59, ""target2_pos"": ""RB"", ""target2_rank"": 11, ""candidates"": [""real"", ""really""]}, {""target2"": ""easy"", ""target2_offset"": 60, ""target2_end"": 64, ""target2_pos"": ""JJ"", ""target2_rank"": 12, ""candidates"": [""prosperous"", ""soft"", ""light"", ""loose"", ""gentle"", ""comfortable""]}]",5,11,First,Firstly,0,5,RB,selected_conservative,Selected 'Firstly' for 'First' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"First, with the devices available these days, it is very easy to make animations or make pictures better.","Firstly, with the devices available these days, it is very easy to make animations or make pictures better.",target2_starts_at_offset_0
wonderful,"So, when you are being guided you must follow the tour guide all the time and you can not explore other **wonderful** places.","['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],"['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],0,"[0, 2, 2, 4, 3]",[],"So, when you are being guided you must follow the tour guide all the time and you can not explore other wonderful places.",wonderful,amazing,127,prolex,wonderful,amazing,104,113,"[{""target2"": ""guided"", ""target2_offset"": 23, ""target2_end"": 29, ""target2_pos"": ""VBN"", ""target2_rank"": 6, ""candidates"": [""pointed"", ""directed"", ""passed"", ""headed"", ""conducted""]}, {""target2"": ""follow"", ""target2_offset"": 39, ""target2_end"": 45, ""target2_pos"": ""VB"", ""target2_rank"": 9, ""candidates"": [""be"", ""watch"", ""come"", ""adopt"", ""succeed"", ""trace"", ""comply"", ""pursue"", ""accompany"", ""observe"", ""survey""]}, {""target2"": ""tour"", ""target2_offset"": 50, ""target2_end"": 54, ""target2_pos"": ""NN"", ""target2_rank"": 11, ""candidates"": [""circuit"", ""hitch"", ""spell"", ""go"", ""turn""]}, {""target2"": ""guide"", ""target2_offset"": 55, ""target2_end"": 60, ""target2_pos"": ""NN"", ""target2_rank"": 12, ""candidates"": [""scout"", ""template""]}, {""target2"": ""time"", ""target2_offset"": 69, ""target2_end"": 73, ""target2_pos"": ""NN"", ""target2_rank"": 15, ""candidates"": [""sentence"", ""clip"", ""meter""]}]",5,26,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"So, when you are being guided you must follow the tour guide all the time and you can not explore other amazing places.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
wonderful,"So, when you are being guided you must follow the tour guide all the time and you can not explore other **wonderful** places.","['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],"['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],0,"[0, 2, 2, 4, 3]",[],"So, when you are being guided you must follow the tour guide all the time and you can not explore other wonderful places.",wonderful,spectacular,128,prolex,wonderful,spectacular,104,113,"[{""target2"": ""guided"", ""target2_offset"": 23, ""target2_end"": 29, ""target2_pos"": ""VBN"", ""target2_rank"": 6, ""candidates"": [""pointed"", ""directed"", ""passed"", ""headed"", ""conducted""]}, {""target2"": ""follow"", ""target2_offset"": 39, ""target2_end"": 45, ""target2_pos"": ""VB"", ""target2_rank"": 9, ""candidates"": [""be"", ""watch"", ""come"", ""adopt"", ""succeed"", ""trace"", ""comply"", ""pursue"", ""accompany"", ""observe"", ""survey""]}, {""target2"": ""tour"", ""target2_offset"": 50, ""target2_end"": 54, ""target2_pos"": ""NN"", ""target2_rank"": 11, ""candidates"": [""circuit"", ""hitch"", ""spell"", ""go"", ""turn""]}, {""target2"": ""guide"", ""target2_offset"": 55, ""target2_end"": 60, ""target2_pos"": ""NN"", ""target2_rank"": 12, ""candidates"": [""scout"", ""template""]}, {""target2"": ""time"", ""target2_offset"": 69, ""target2_end"": 73, ""target2_pos"": ""NN"", ""target2_rank"": 15, ""candidates"": [""sentence"", ""clip"", ""meter""]}]",5,26,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"So, when you are being guided you must follow the tour guide all the time and you can not explore other spectacular places.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
wonderful,"So, when you are being guided you must follow the tour guide all the time and you can not explore other **wonderful** places.","['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],"['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],0,"[0, 2, 2, 4, 3]",[],"So, when you are being guided you must follow the tour guide all the time and you can not explore other wonderful places.",wonderful,fascinating,129,prolex,wonderful,fascinating,104,113,"[{""target2"": ""guided"", ""target2_offset"": 23, ""target2_end"": 29, ""target2_pos"": ""VBN"", ""target2_rank"": 6, ""candidates"": [""pointed"", ""directed"", ""passed"", ""headed"", ""conducted""]}, {""target2"": ""follow"", ""target2_offset"": 39, ""target2_end"": 45, ""target2_pos"": ""VB"", ""target2_rank"": 9, ""candidates"": [""be"", ""watch"", ""come"", ""adopt"", ""succeed"", ""trace"", ""comply"", ""pursue"", ""accompany"", ""observe"", ""survey""]}, {""target2"": ""tour"", ""target2_offset"": 50, ""target2_end"": 54, ""target2_pos"": ""NN"", ""target2_rank"": 11, ""candidates"": [""circuit"", ""hitch"", ""spell"", ""go"", ""turn""]}, {""target2"": ""guide"", ""target2_offset"": 55, ""target2_end"": 60, ""target2_pos"": ""NN"", ""target2_rank"": 12, ""candidates"": [""scout"", ""template""]}, {""target2"": ""time"", ""target2_offset"": 69, ""target2_end"": 73, ""target2_pos"": ""NN"", ""target2_rank"": 15, ""candidates"": [""sentence"", ""clip"", ""meter""]}]",5,26,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"So, when you are being guided you must follow the tour guide all the time and you can not explore other fascinating places.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
wonderful,"So, when you are being guided you must follow the tour guide all the time and you can not explore other **wonderful** places.","['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],"['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],0,"[0, 2, 2, 4, 3]",[],"So, when you are being guided you must follow the tour guide all the time and you can not explore other wonderful places.",wonderful,majestic,130,prolex,wonderful,majestic,104,113,"[{""target2"": ""guided"", ""target2_offset"": 23, ""target2_end"": 29, ""target2_pos"": ""VBN"", ""target2_rank"": 6, ""candidates"": [""pointed"", ""directed"", ""passed"", ""headed"", ""conducted""]}, {""target2"": ""follow"", ""target2_offset"": 39, ""target2_end"": 45, ""target2_pos"": ""VB"", ""target2_rank"": 9, ""candidates"": [""be"", ""watch"", ""come"", ""adopt"", ""succeed"", ""trace"", ""comply"", ""pursue"", ""accompany"", ""observe"", ""survey""]}, {""target2"": ""tour"", ""target2_offset"": 50, ""target2_end"": 54, ""target2_pos"": ""NN"", ""target2_rank"": 11, ""candidates"": [""circuit"", ""hitch"", ""spell"", ""go"", ""turn""]}, {""target2"": ""guide"", ""target2_offset"": 55, ""target2_end"": 60, ""target2_pos"": ""NN"", ""target2_rank"": 12, ""candidates"": [""scout"", ""template""]}, {""target2"": ""time"", ""target2_offset"": 69, ""target2_end"": 73, ""target2_pos"": ""NN"", ""target2_rank"": 15, ""candidates"": [""sentence"", ""clip"", ""meter""]}]",5,26,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"So, when you are being guided you must follow the tour guide all the time and you can not explore other majestic places.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
wonderful,"So, when you are being guided you must follow the tour guide all the time and you can not explore other **wonderful** places.","['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],"['amazing', 'spectacular', 'fascinating', 'majestic', 'stunning']",[],0,"[0, 2, 2, 4, 3]",[],"So, when you are being guided you must follow the tour guide all the time and you can not explore other wonderful places.",wonderful,stunning,131,prolex,wonderful,stunning,104,113,"[{""target2"": ""guided"", ""target2_offset"": 23, ""target2_end"": 29, ""target2_pos"": ""VBN"", ""target2_rank"": 6, ""candidates"": [""pointed"", ""directed"", ""passed"", ""headed"", ""conducted""]}, {""target2"": ""follow"", ""target2_offset"": 39, ""target2_end"": 45, ""target2_pos"": ""VB"", ""target2_rank"": 9, ""candidates"": [""be"", ""watch"", ""come"", ""adopt"", ""succeed"", ""trace"", ""comply"", ""pursue"", ""accompany"", ""observe"", ""survey""]}, {""target2"": ""tour"", ""target2_offset"": 50, ""target2_end"": 54, ""target2_pos"": ""NN"", ""target2_rank"": 11, ""candidates"": [""circuit"", ""hitch"", ""spell"", ""go"", ""turn""]}, {""target2"": ""guide"", ""target2_offset"": 55, ""target2_end"": 60, ""target2_pos"": ""NN"", ""target2_rank"": 12, ""candidates"": [""scout"", ""template""]}, {""target2"": ""time"", ""target2_offset"": 69, ""target2_end"": 73, ""target2_pos"": ""NN"", ""target2_rank"": 15, ""candidates"": [""sentence"", ""clip"", ""meter""]}]",5,26,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"So, when you are being guided you must follow the tour guide all the time and you can not explore other stunning places.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
entrepreneur,"Imitating the product which is already existing is of a very high risk,so the **entrepreneur** tries to bring the product in a new way and comes up with a better one.","['businessperson', 'innovator', 'business owner']","['tycoon', 'founder']","['businessperson', 'business owner']",['innovator'],3,"[6, 'None']",[2],"Imitating the product which is already existing is of a very high risk,so the entrepreneur tries to bring the product in a new way and comes up with a better one.",entrepreneur,businessperson,137,prolex,entrepreneur,businessperson,78,90,"[{""target2"": ""product"", ""target2_offset"": 14, ""target2_end"": 21, ""target2_pos"": ""NN"", ""target2_rank"": 2, ""candidates"": [""production"", ""merchandise"", ""ware"", ""intersection""]}, {""target2"": ""existing"", ""target2_offset"": 39, ""target2_end"": 47, ""target2_pos"": ""VBG"", ""target2_rank"": 6, ""candidates"": [""being"", ""living"", ""surviving""]}, {""target2"": ""very"", ""target2_offset"": 56, ""target2_end"": 60, ""target2_pos"": ""RB"", ""target2_rank"": 10, ""candidates"": [""real"", ""really""]}, {""target2"": ""high"", ""target2_offset"": 61, ""target2_end"": 65, ""target2_pos"": ""JJ"", ""target2_rank"": 11, ""candidates"": [""eminent""]}, {""target2"": ""risk"", ""target2_offset"": 66, ""target2_end"": 70, ""target2_pos"": ""NN"", ""target2_rank"": 12, ""candidates"": [""danger"", ""hazard"", ""jeopardy"", ""peril""]}]",5,14,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"Imitating the product which is already existing is of a very high risk,so the businessperson tries to bring the product in a new way and comes up with a better one.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
entrepreneur,"Imitating the product which is already existing is of a very high risk,so the **entrepreneur** tries to bring the product in a new way and comes up with a better one.","['businessperson', 'innovator', 'business owner']","['tycoon', 'founder']","['businessperson', 'business owner']",['innovator'],3,"[6, 'None']",[2],"Imitating the product which is already existing is of a very high risk,so the entrepreneur tries to bring the product in a new way and comes up with a better one.",entrepreneur,innovator,138,prolex,entrepreneur,innovator,78,90,"[{""target2"": ""product"", ""target2_offset"": 14, ""target2_end"": 21, ""target2_pos"": ""NN"", ""target2_rank"": 2, ""candidates"": [""production"", ""merchandise"", ""ware"", ""intersection""]}, {""target2"": ""existing"", ""target2_offset"": 39, ""target2_end"": 47, ""target2_pos"": ""VBG"", ""target2_rank"": 6, ""candidates"": [""being"", ""living"", ""surviving""]}, {""target2"": ""very"", ""target2_offset"": 56, ""target2_end"": 60, ""target2_pos"": ""RB"", ""target2_rank"": 10, ""candidates"": [""real"", ""really""]}, {""target2"": ""high"", ""target2_offset"": 61, ""target2_end"": 65, ""target2_pos"": ""JJ"", ""target2_rank"": 11, ""candidates"": [""eminent""]}, {""target2"": ""risk"", ""target2_offset"": 66, ""target2_end"": 70, ""target2_pos"": ""NN"", ""target2_rank"": 12, ""candidates"": [""danger"", ""hazard"", ""jeopardy"", ""peril""]}]",5,14,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"Imitating the product which is already existing is of a very high risk,so the innovator tries to bring the product in a new way and comes up with a better one.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
sun,So it will work with **sun** energy.,['solar'],"['sunlight', 'sun-powered', 'radiant', 'daylight']",['solar'],[],0,[3],[],So it will work with sun energy.,sun,solar,144,prolex,sun,solar,21,24,"[{""target2"": ""work"", ""target2_offset"": 11, ""target2_end"": 15, ""target2_pos"": ""VB"", ""target2_rank"": 3, ""candidates"": [""bring"", ""solve"", ""operate"", ""influence"", ""form"", ""function"", ""run"", ""exploit"", ""shape"", ""go"", ""exercise"", ""sour"", ""cultivate"", ""act"", ""crop"", ""make"", ""mold"", ""play"", ""turn"", ""mould"", ""ferment"", ""process""]}, {""target2"": ""energy"", ""target2_offset"": 25, ""target2_end"": 31, ""target2_pos"": ""NN"", ""target2_rank"": 6, ""candidates"": [""vitality"", ""zip"", ""push""]}]",2,25,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,So it will work with solar energy.,,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
media,"This power is so immense, one can even claim that people in the **media** are in the business of manufacturing will.","['press', 'news industry']","['journalism', 'broadcasting', 'communications']",['news industry'],['press'],3,['None'],[2],"This power is so immense, one can even claim that people in the media are in the business of manufacturing will.",media,press,147,prolex,media,press,64,69,"[{""target2"": ""power"", ""target2_offset"": 5, ""target2_end"": 10, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""ability"", ""might"", ""office"", ""king"", ""force"", ""index"", ""exponent""]}, {""target2"": ""immense"", ""target2_offset"": 17, ""target2_end"": 24, ""target2_pos"": ""JJ"", ""target2_rank"": 4, ""candidates"": [""vast"", ""huge""]}, {""target2"": ""even"", ""target2_offset"": 34, ""target2_end"": 38, ""target2_pos"": ""RB"", ""target2_rank"": 8, ""candidates"": [""still"", ""yet""]}, {""target2"": ""claim"", ""target2_offset"": 39, ""target2_end"": 44, ""target2_pos"": ""VB"", ""target2_rank"": 9, ""candidates"": [""take"", ""exact""]}, {""target2"": ""people"", ""target2_offset"": 50, ""target2_end"": 56, ""target2_pos"": ""NNS"", ""target2_rank"": 11, ""candidates"": [""mass"", ""masses""]}]",5,15,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"This power is so immense, one can even claim that people in the press are in the business of manufacturing will.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
stand,but he is socially and politically more sound and strong to **stand** for his new risk and adventure.,"['endure', 'withstand']","['uphold', 'defend', 'maintain']","['endure', 'withstand']",[],0,"[3, 5]",[],but he is socially and politically more sound and strong to stand for his new risk and adventure.,stand,endure,158,prolex,stand,endure,60,65,"[{""target2"": ""sound"", ""target2_offset"": 40, ""target2_end"": 45, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""audio"", ""phone""]}, {""target2"": ""strong"", ""target2_offset"": 50, ""target2_end"": 56, ""target2_pos"": ""JJ"", ""target2_rank"": 9, ""candidates"": [""firm"", ""potent"", ""solid"", ""hard"", ""warm"", ""stiff"", ""secure"", ""substantial""]}, {""target2"": ""risk"", ""target2_offset"": 78, ""target2_end"": 82, ""target2_pos"": ""NN"", ""target2_rank"": 15, ""candidates"": [""danger"", ""hazard"", ""jeopardy"", ""peril""]}]",3,14,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,but he is socially and politically more sound and strong to endure for his new risk and adventure.,,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
stand,but he is socially and politically more sound and strong to **stand** for his new risk and adventure.,"['endure', 'withstand']","['uphold', 'defend', 'maintain']","['endure', 'withstand']",[],0,"[3, 5]",[],but he is socially and politically more sound and strong to stand for his new risk and adventure.,stand,withstand,159,prolex,stand,withstand,60,65,"[{""target2"": ""sound"", ""target2_offset"": 40, ""target2_end"": 45, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""audio"", ""phone""]}, {""target2"": ""strong"", ""target2_offset"": 50, ""target2_end"": 56, ""target2_pos"": ""JJ"", ""target2_rank"": 9, ""candidates"": [""firm"", ""potent"", ""solid"", ""hard"", ""warm"", ""stiff"", ""secure"", ""substantial""]}, {""target2"": ""risk"", ""target2_offset"": 78, ""target2_end"": 82, ""target2_pos"": ""NN"", ""target2_rank"": 15, ""candidates"": [""danger"", ""hazard"", ""jeopardy"", ""peril""]}]",3,14,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,but he is socially and politically more sound and strong to withstand for his new risk and adventure.,,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
skill,"but they have a lot of money, have a lot of experience, **skill**, and have good partners.","['expertise', 'proficiency', 'ability', 'talent']",['knack'],"['expertise', 'proficiency', 'ability', 'talent']",[],0,"[3, 6, 1, 2]",[],"but they have a lot of money, have a lot of experience, skill, and have good partners.",skill,expertise,164,prolex,skill,expertise,56,61,"[{""target2"": ""good"", ""target2_offset"": 72, ""target2_end"": 76, ""target2_pos"": ""JJ"", ""target2_rank"": 18, ""candidates"": [""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""partners"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""NNS"", ""target2_rank"": 19, ""candidates"": [""spouses"", ""mates"", ""collaborators""]}]",2,22,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"but they have a lot of money, have a lot of experience, expertise, and have good partners.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
skill,"but they have a lot of money, have a lot of experience, **skill**, and have good partners.","['expertise', 'proficiency', 'ability', 'talent']",['knack'],"['expertise', 'proficiency', 'ability', 'talent']",[],0,"[3, 6, 1, 2]",[],"but they have a lot of money, have a lot of experience, skill, and have good partners.",skill,proficiency,165,prolex,skill,proficiency,56,61,"[{""target2"": ""good"", ""target2_offset"": 72, ""target2_end"": 76, ""target2_pos"": ""JJ"", ""target2_rank"": 18, ""candidates"": [""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""partners"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""NNS"", ""target2_rank"": 19, ""candidates"": [""spouses"", ""mates"", ""collaborators""]}]",2,22,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"but they have a lot of money, have a lot of experience, proficiency, and have good partners.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
skill,"but they have a lot of money, have a lot of experience, **skill**, and have good partners.","['expertise', 'proficiency', 'ability', 'talent']",['knack'],"['expertise', 'proficiency', 'ability', 'talent']",[],0,"[3, 6, 1, 2]",[],"but they have a lot of money, have a lot of experience, skill, and have good partners.",skill,ability,166,prolex,skill,ability,56,61,"[{""target2"": ""good"", ""target2_offset"": 72, ""target2_end"": 76, ""target2_pos"": ""JJ"", ""target2_rank"": 18, ""candidates"": [""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""partners"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""NNS"", ""target2_rank"": 19, ""candidates"": [""spouses"", ""mates"", ""collaborators""]}]",2,22,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"but they have a lot of money, have a lot of experience, ability, and have good partners.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
skill,"but they have a lot of money, have a lot of experience, **skill**, and have good partners.","['expertise', 'proficiency', 'ability', 'talent']",['knack'],"['expertise', 'proficiency', 'ability', 'talent']",[],0,"[3, 6, 1, 2]",[],"but they have a lot of money, have a lot of experience, skill, and have good partners.",skill,talent,167,prolex,skill,talent,56,61,"[{""target2"": ""good"", ""target2_offset"": 72, ""target2_end"": 76, ""target2_pos"": ""JJ"", ""target2_rank"": 18, ""candidates"": [""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""partners"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""NNS"", ""target2_rank"": 19, ""candidates"": [""spouses"", ""mates"", ""collaborators""]}]",2,22,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,"but they have a lot of money, have a lot of experience, talent, and have good partners.",,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
programmed,Spending your travel time **programmed** and detailed by the tour guide is the best solution for travelling than travelling alone.,"['structured', 'organized', 'scheduled', 'arranged', 'planned']",[],"['structured', 'scheduled']","['organized', 'arranged', 'planned']",2,"[3, 3]","[1, 1, 0]",Spending your travel time programmed and detailed by the tour guide is the best solution for travelling than travelling alone.,programmed,structured,168,prolex,programmed,structured,26,36,"[{""target2"": ""travel"", ""target2_offset"": 14, ""target2_end"": 20, ""target2_pos"": ""NN"", ""target2_rank"": 2, ""candidates"": [""traveling"", ""travelling""]}, {""target2"": ""time"", ""target2_offset"": 21, ""target2_end"": 25, ""target2_pos"": ""NN"", ""target2_rank"": 3, ""candidates"": [""sentence"", ""clip"", ""meter""]}, {""target2"": ""tour"", ""target2_offset"": 57, ""target2_end"": 61, ""target2_pos"": ""NN"", ""target2_rank"": 9, ""candidates"": [""circuit"", ""hitch"", ""spell"", ""go"", ""turn""]}, {""target2"": ""guide"", ""target2_offset"": 62, ""target2_end"": 67, ""target2_pos"": ""NN"", ""target2_rank"": 10, ""candidates"": [""scout"", ""template""]}, {""target2"": ""best"", ""target2_offset"": 75, ""target2_end"": 79, ""target2_pos"": ""JJS"", ""target2_rank"": 13, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}]",5,33,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,Spending your travel time structured and detailed by the tour guide is the best solution for travelling than travelling alone.,,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
