target word,Sentence,acc_subs,unacc_subs,prof_acc_subs,prof_unacc_subs,t_words_cefr,prof_acc_cefr,prof_unacc_cefr,clean_sentence,target_clean,substitute,source_row_idx,dataset,target1,substitute1,target1_offset,target1_end,target2_options_json,num_target2_options,num_total_candidates2
road,Many people nowadays are already complaining about how frustrated they are when they are outside on the **road**.,['street'],"['highway', 'pathway', 'route', 'avenue']",['street'],[],0,[0],[],Many people nowadays are already complaining about how frustrated they are when they are outside on the road.,road,street,10,prolex,road,street,104,108,"[{""target2"": ""people"", ""target2_offset"": 5, ""target2_end"": 11, ""target2_pos"": ""NNS"", ""target2_rank"": 1, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""nowadays"", ""target2_offset"": 12, ""target2_end"": 20, ""target2_pos"": ""NNS"", ""target2_rank"": 2, ""candidates"": [""presents""]}, {""target2"": ""complaining"", ""target2_offset"": 33, ""target2_end"": 44, ""target2_pos"": ""VBG"", ""target2_rank"": 5, ""candidates"": [""kicking""]}, {""target2"": ""frustrated"", ""target2_offset"": 55, ""target2_end"": 65, ""target2_pos"": ""JJ"", ""target2_rank"": 8, ""candidates"": [""disappointed"", ""defeated""]}, {""target2"": ""outside"", ""target2_offset"": 89, ""target2_end"": 96, ""target2_pos"": ""JJ"", ""target2_rank"": 14, ""candidates"": [""international"", ""outdoor"", ""remote"", ""external"", ""away""]}]",5,11
claim,I could even **claim** that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,"['argue', 'assert', 'contend']","['maintain', 'state']","['assert', 'contend']",['argue'],2,"[4, 4]",[1],I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,argue,11,prolex,claim,argue,13,18,"[{""target2"": ""even"", ""target2_offset"": 8, ""target2_end"": 12, ""target2_pos"": ""RB"", ""target2_rank"": 2, ""candidates"": [""still"", ""yet""]}, {""target2"": ""older"", ""target2_offset"": 24, ""target2_end"": 29, ""target2_pos"": ""JJR"", ""target2_rank"": 5, ""candidates"": [""old"", ""former"", ""elderly"", ""aged"", ""elder"", ""senior"", ""previous"", ""sometime""]}, {""target2"": ""people"", ""target2_offset"": 30, ""target2_end"": 36, ""target2_pos"": ""NNS"", ""target2_rank"": 6, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""better"", ""target2_offset"": 48, ""target2_end"": 54, ""target2_pos"": ""JJR"", ""target2_rank"": 9, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""chances"", ""target2_offset"": 55, ""target2_end"": 62, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""opportunities"", ""probabilities"", ""prospects"", ""fortunes"", ""hazards""]}]",5,38
claim,I could even **claim** that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,"['argue', 'assert', 'contend']","['maintain', 'state']","['assert', 'contend']",['argue'],2,"[4, 4]",[1],I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,assert,12,prolex,claim,assert,13,18,"[{""target2"": ""even"", ""target2_offset"": 8, ""target2_end"": 12, ""target2_pos"": ""RB"", ""target2_rank"": 2, ""candidates"": [""still"", ""yet""]}, {""target2"": ""older"", ""target2_offset"": 24, ""target2_end"": 29, ""target2_pos"": ""JJR"", ""target2_rank"": 5, ""candidates"": [""old"", ""former"", ""elderly"", ""aged"", ""elder"", ""senior"", ""previous"", ""sometime""]}, {""target2"": ""people"", ""target2_offset"": 30, ""target2_end"": 36, ""target2_pos"": ""NNS"", ""target2_rank"": 6, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""better"", ""target2_offset"": 48, ""target2_end"": 54, ""target2_pos"": ""JJR"", ""target2_rank"": 9, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""chances"", ""target2_offset"": 55, ""target2_end"": 62, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""opportunities"", ""probabilities"", ""prospects"", ""fortunes"", ""hazards""]}]",5,38
claim,I could even **claim** that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,"['argue', 'assert', 'contend']","['maintain', 'state']","['assert', 'contend']",['argue'],2,"[4, 4]",[1],I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,contend,13,prolex,claim,contend,13,18,"[{""target2"": ""even"", ""target2_offset"": 8, ""target2_end"": 12, ""target2_pos"": ""RB"", ""target2_rank"": 2, ""candidates"": [""still"", ""yet""]}, {""target2"": ""older"", ""target2_offset"": 24, ""target2_end"": 29, ""target2_pos"": ""JJR"", ""target2_rank"": 5, ""candidates"": [""old"", ""former"", ""elderly"", ""aged"", ""elder"", ""senior"", ""previous"", ""sometime""]}, {""target2"": ""people"", ""target2_offset"": 30, ""target2_end"": 36, ""target2_pos"": ""NNS"", ""target2_rank"": 6, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""better"", ""target2_offset"": 48, ""target2_end"": 54, ""target2_pos"": ""JJR"", ""target2_rank"": 9, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""chances"", ""target2_offset"": 55, ""target2_end"": 62, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""opportunities"", ""probabilities"", ""prospects"", ""fortunes"", ""hazards""]}]",5,38
available,no other car was **available** in India except for imported ones and that can be afforded by people with big pockets only.,"['accessible', 'attainable', 'obtainable', 'on hand']",['reachable'],"['accessible', 'attainable', 'obtainable', 'on hand']",[],1,"[3, 5, 5, 'None']",[],no other car was available in India except for imported ones and that can be afforded by people with big pockets only.,available,accessible,14,prolex,available,accessible,17,26,"[{""target2"": ""other"", ""target2_offset"": 3, ""target2_end"": 8, ""target2_pos"": ""JJ"", ""target2_rank"": 1, ""candidates"": [""early"", ""former""]}, {""target2"": ""imported"", ""target2_offset"": 47, ""target2_end"": 55, ""target2_pos"": ""VBN"", ""target2_rank"": 9, ""candidates"": [""spelled""]}, {""target2"": ""ones"", ""target2_offset"": 56, ""target2_end"": 60, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""is"", ""singles""]}, {""target2"": ""afforded"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""VBN"", ""target2_rank"": 15, ""candidates"": [""yielded"", ""opened""]}, {""target2"": ""people"", ""target2_offset"": 89, ""target2_end"": 95, ""target2_pos"": ""NNS"", ""target2_rank"": 17, ""candidates"": [""mass"", ""masses""]}]",5,9
available,no other car was **available** in India except for imported ones and that can be afforded by people with big pockets only.,"['accessible', 'attainable', 'obtainable', 'on hand']",['reachable'],"['accessible', 'attainable', 'obtainable', 'on hand']",[],1,"[3, 5, 5, 'None']",[],no other car was available in India except for imported ones and that can be afforded by people with big pockets only.,available,attainable,15,prolex,available,attainable,17,26,"[{""target2"": ""other"", ""target2_offset"": 3, ""target2_end"": 8, ""target2_pos"": ""JJ"", ""target2_rank"": 1, ""candidates"": [""early"", ""former""]}, {""target2"": ""imported"", ""target2_offset"": 47, ""target2_end"": 55, ""target2_pos"": ""VBN"", ""target2_rank"": 9, ""candidates"": [""spelled""]}, {""target2"": ""ones"", ""target2_offset"": 56, ""target2_end"": 60, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""is"", ""singles""]}, {""target2"": ""afforded"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""VBN"", ""target2_rank"": 15, ""candidates"": [""yielded"", ""opened""]}, {""target2"": ""people"", ""target2_offset"": 89, ""target2_end"": 95, ""target2_pos"": ""NNS"", ""target2_rank"": 17, ""candidates"": [""mass"", ""masses""]}]",5,9
available,no other car was **available** in India except for imported ones and that can be afforded by people with big pockets only.,"['accessible', 'attainable', 'obtainable', 'on hand']",['reachable'],"['accessible', 'attainable', 'obtainable', 'on hand']",[],1,"[3, 5, 5, 'None']",[],no other car was available in India except for imported ones and that can be afforded by people with big pockets only.,available,obtainable,16,prolex,available,obtainable,17,26,"[{""target2"": ""other"", ""target2_offset"": 3, ""target2_end"": 8, ""target2_pos"": ""JJ"", ""target2_rank"": 1, ""candidates"": [""early"", ""former""]}, {""target2"": ""imported"", ""target2_offset"": 47, ""target2_end"": 55, ""target2_pos"": ""VBN"", ""target2_rank"": 9, ""candidates"": [""spelled""]}, {""target2"": ""ones"", ""target2_offset"": 56, ""target2_end"": 60, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""is"", ""singles""]}, {""target2"": ""afforded"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""VBN"", ""target2_rank"": 15, ""candidates"": [""yielded"", ""opened""]}, {""target2"": ""people"", ""target2_offset"": 89, ""target2_end"": 95, ""target2_pos"": ""NNS"", ""target2_rank"": 17, ""candidates"": [""mass"", ""masses""]}]",5,9
movies,By watching **movies** we can enjoy a lot as all the friends will be going to be there.,"['films', 'cinema', 'motion pictures']","['flicks', 'screenplays']","['films', 'cinema', 'motion pictures']",[],0,"[0, 0, 'None']",[],By watching movies we can enjoy a lot as all the friends will be going to be there.,movies,films,17,prolex,movies,films,12,18,"[{""target2"": ""watching"", ""target2_offset"": 3, ""target2_end"": 11, ""target2_pos"": ""VBG"", ""target2_rank"": 1, ""candidates"": [""following"", ""viewing"", ""observing"", ""catching"", ""checking"", ""learning"", ""determining""]}, {""target2"": ""enjoy"", ""target2_offset"": 26, ""target2_end"": 31, ""target2_pos"": ""VB"", ""target2_rank"": 5, ""candidates"": [""love"", ""revel"", ""delight""]}, {""target2"": ""friends"", ""target2_offset"": 49, ""target2_end"": 56, ""target2_pos"": ""NNS"", ""target2_rank"": 11, ""candidates"": [""allies"", ""supporters"", ""champions""]}, {""target2"": ""going"", ""target2_offset"": 65, ""target2_end"": 70, ""target2_pos"": ""VBG"", ""target2_rank"": 14, ""candidates"": [""becoming"", ""moving"", ""traveling"", ""living"", ""operating"", ""working"", ""surviving"", ""extending"", ""sounding"", ""leading"", ""departing"", ""functioning"", ""passing"", ""proceeding"", ""lasting"", ""starting"", ""enduring"", ""failing"", ""belonging"", ""breaking"", ""blending""]}]",4,34
movies,By watching **movies** we can enjoy a lot as all the friends will be going to be there.,"['films', 'cinema', 'motion pictures']","['flicks', 'screenplays']","['films', 'cinema', 'motion pictures']",[],0,"[0, 0, 'None']",[],By watching movies we can enjoy a lot as all the friends will be going to be there.,movies,cinema,18,prolex,movies,cinema,12,18,"[{""target2"": ""watching"", ""target2_offset"": 3, ""target2_end"": 11, ""target2_pos"": ""VBG"", ""target2_rank"": 1, ""candidates"": [""following"", ""viewing"", ""observing"", ""catching"", ""checking"", ""learning"", ""determining""]}, {""target2"": ""enjoy"", ""target2_offset"": 26, ""target2_end"": 31, ""target2_pos"": ""VB"", ""target2_rank"": 5, ""candidates"": [""love"", ""revel"", ""delight""]}, {""target2"": ""friends"", ""target2_offset"": 49, ""target2_end"": 56, ""target2_pos"": ""NNS"", ""target2_rank"": 11, ""candidates"": [""allies"", ""supporters"", ""champions""]}, {""target2"": ""going"", ""target2_offset"": 65, ""target2_end"": 70, ""target2_pos"": ""VBG"", ""target2_rank"": 14, ""candidates"": [""becoming"", ""moving"", ""traveling"", ""living"", ""operating"", ""working"", ""surviving"", ""extending"", ""sounding"", ""leading"", ""departing"", ""functioning"", ""passing"", ""proceeding"", ""lasting"", ""starting"", ""enduring"", ""failing"", ""belonging"", ""breaking"", ""blending""]}]",4,34
applied,For example seriously understanding the basis of physics may be **applied** to building roads in very bad geological conditions.,"['utilized', 'employed', 'used', 'implemented', 'put into action']",[],"['utilized', 'employed', 'implemented', 'put into action']",['used'],1,"[4, 1, 3, 'None']",[0],For example seriously understanding the basis of physics may be applied to building roads in very bad geological conditions.,applied,utilized,19,prolex,applied,utilized,64,71,"[{""target2"": ""example"", ""target2_offset"": 4, ""target2_end"": 11, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""case"", ""instance"", ""lesson"", ""model"", ""exercise"", ""illustration"", ""representative""]}, {""target2"": ""seriously"", ""target2_offset"": 12, ""target2_end"": 21, ""target2_pos"": ""RB"", ""target2_rank"": 2, ""candidates"": [""severely"", ""badly""]}, {""target2"": ""understanding"", ""target2_offset"": 22, ""target2_end"": 35, ""target2_pos"": ""VBG"", ""target2_rank"": 3, ""candidates"": [""realizing"", ""translating"", ""interpreting"", ""reading""]}, {""target2"": ""basis"", ""target2_offset"": 40, ""target2_end"": 45, ""target2_pos"": ""NN"", ""target2_rank"": 5, ""candidates"": [""base"", ""ground"", ""footing"", ""fundament"", ""foundation""]}, {""target2"": ""building"", ""target2_offset"": 75, ""target2_end"": 83, ""target2_pos"": ""VBG"", ""target2_rank"": 12, ""candidates"": [""constructing"", ""making"", ""establishing"", ""progressing""]}]",5,22
