row_idx,dataset,sentence,changed_sentence,prefix,suffix,target,substitute,orig_logp,sub_logp,orig_nll,sub_nll,score,orig_token_ids,sub_token_ids,orig_tokens,sub_tokens,orig_num_tokens,sub_num_tokens,orig_context_mean_nll,sub_context_mean_nll,orig_context_sum_nll,sub_context_sum_nll,orig_context_num_tokens,sub_context_num_tokens,context_score,orig_context_avg_logp,sub_context_avg_logp,context_logp_score
12,swords,"This year's results included a gain of $70.2 million on the disposal of seafood operations. Sales for the full year were $6.6 billion, up 13% from $5.8 billion.  

Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company.","This year's results included a gain of $70.2 million on the disposal of seafood operations. Sales for the entire year were $6.6 billion, up 13% from $5.8 billion.  

Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company.",This year's results included a gain of $70.2 million on the disposal of seafood operations. Sales for the ," year were $6.6 billion, up 13% from $5.8 billion.  

Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company.",full,entire,-3.65625,-5.84375,3.65625,5.84375,2.1875,[2120],[2862],"[""Ġfull""]","[""Ġentire""]",1,1,2.84375,2.90625,253.0,258.0,89,89,0.0625,-2.84375,-2.90625,0.0625
14,swords,"Xerox Corp. has told employees in its Crum & Forster personal insurance operations that it is laying off about 300 people, or 25% of the staff.  

A spokeswoman for Crum & Forster said employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move.","Xerox Corp. has told employees in its Crum & Forster personal insurance operations that it is laying off about 300 folks, or 25% of the staff.  

A spokeswoman for Crum & Forster said employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move.",Xerox Corp. has told employees in its Crum & Forster personal insurance operations that it is laying off about 300 ,", or 25% of the staff.  

A spokeswoman for Crum & Forster said employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move.",people,folks,-1.4921875,-10.3125,1.4921875,10.3125,8.8203125,[952],[12633],"[""Ġpeople""]","[""Ġfolks""]",1,1,2.71875,2.828125,196.0,204.0,72,72,0.109375,-2.71875,-2.828125,0.109375
15,swords,"They say the cubes will outlast
                    planets and suns, that when the universe dies, the works of Malaquez and his
                    followers will be the last things seen in the final wink of God's eye. 
                 Yes, Self, I am also bothered that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my latest play, ""Captured Moments.""","They say the cubes will outlast
                    planets and suns, that when the universe dies, the works of Malaquez and his
                    followers will be the last things seen in the final wink of God's eye. 
                 Yes, Self, I am also disturb that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my latest play, ""Captured Moments.""","They say the cubes will outlast
                    planets and suns, that when the universe dies, the works of Malaquez and his
                    followers will be the last things seen in the final wink of God's eye. 
                 Yes, Self, I am also "," that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my latest play, ""Captured Moments.""",bothered,disturb,-9.25,-11.875,9.25,11.875,2.625,[28860],[11639],"[""Ġbothered""]","[""Ġdisturb""]",1,1,3.71875,3.796875,424.0,432.0,114,114,0.078125,-3.71875,-3.796875,0.078125
16,swords,"""Tell me, Malaquez."" 
                 ""She wanted to be famous. She did!","""Tell me, Malaquez."" 
                 ""She wanted to be renowned. She did!","""Tell me, Malaquez."" 
                 ""She wanted to be ",. She did!,famous,renowned,-6.1875,-11.0,6.1875,11.0,4.8125,[8530],[30101],"[""Ġfamous""]","[""Ġrenowned""]",1,1,4.90625,5.25,93.0,100.0,19,19,0.34375,-4.90625,-5.25,0.34375
17,swords,"""When I see prints going into the hands of institutions, I know they aren't going to come back on the market."" Most in demand: classic photographs by masters such as Stieglitz and Man Ray. But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.","""When I see prints going into the hands of institutions, I know they aren't going to come back on the market."" Most in demand: vintage photographs by masters such as Stieglitz and Man Ray. But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.","""When I see prints going into the hands of institutions, I know they aren't going to come back on the market."" Most in demand: "," photographs by masters such as Stieglitz and Man Ray. But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.",classic,vintage,-7.71875,-7.21875,7.71875,7.21875,-0.5,[10610],[30939],"[""Ġclassic""]","[""Ġvintage""]",1,1,3.015625,3.03125,205.0,206.0,68,68,0.015625,-3.015625,-3.03125,0.015625
18,swords,"""It amuses me. Show me around, and then I shall decide."" 
                 ""Of course, Señor Flynn.""","""It amuses me. Show me around, and subsequently I shall decide."" 
                 ""Of course, Señor Flynn.""","""It amuses me. Show me around, and "," I shall decide."" 
                 ""Of course, Señor Flynn.""",then,subsequently,-3.171875,-12.0625,3.171875,12.0625,8.890625,[840],[9674],"[""Ġthen""]","[""Ġsubsequently""]",1,1,4.40625,4.875,110.5,122.0,25,25,0.46875,-4.40625,-4.875,0.46875
19,swords,"The part of my mind that remembered four months in NorAm during the Great
                    Cleaning sent me rolling across the floor. Malaquez was not prepared for me to
                    react so quickly, or perhaps he waited too long for an expression I would not
                    have, a gesture I would not make, a poignant moment of repentence, wonder,
                    despair, or love. Had he been faster, he could have had rage.","The part of my mind that remembered four months in NorAm during the Great
                    Cleaning sent me rolling across the floor. Malaquez was not prepared for me to
                    react so quickly, or perhaps he waited very long for an expression I would not
                    have, a gesture I would not make, a poignant moment of repentence, wonder,
                    despair, or love. Had he been faster, he could have had rage.","The part of my mind that remembered four months in NorAm during the Great
                    Cleaning sent me rolling across the floor. Malaquez was not prepared for me to
                    react so quickly, or perhaps he waited "," long for an expression I would not
                    have, a gesture I would not make, a poignant moment of repentence, wonder,
                    despair, or love. Had he been faster, he could have had rage.",too,very,-1.984375,-9.1875,1.984375,9.1875,7.203125,[1512],[1077],"[""Ġtoo""]","[""Ġvery""]",1,1,3.828125,3.875,352.0,356.0,92,92,0.046875,-3.828125,-3.875,0.046875
20,swords,"Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company. The battery plant, which makes rechargeable nickel cadmium and carbon zinc products, will be closed over the next year or so, a spokesman said.  

Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending.","Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company. The battery plant, which create rechargeable nickel cadmium and carbon zinc products, will be closed over the next year or so, a spokesman said.  

Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending.","Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company. The battery plant, which "," rechargeable nickel cadmium and carbon zinc products, will be closed over the next year or so, a spokesman said.  

Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending.",makes,create,-4.09375,-13.75,4.09375,13.75,9.65625,[2789],[2794],"[""Ġmakes""]","[""Ġcreate""]",1,1,2.921875,3.078125,322.0,338.0,110,110,0.15625,-2.921875,-3.078125,0.15625
21,swords,"We both thought I
                    referred to the vista. 
            
            
                 It's strange how one can write delightedly of the happier moments of life,
                    forgetting the things that one would forget by remembering fully the things one
                    would remember, and suddenly the forgotten, in revenge, rears up to savage the
                    unwary. So it was as I wrote the preceding.","We both thought I
                    referred to the vista. 
            
            
                 It's strange how one can write delightedly of the happier moments of living,
                    forgetting the things that one would forget by remembering fully the things one
                    would remember, and suddenly the forgotten, in revenge, rears up to savage the
                    unwary. So it was as I wrote the preceding.","We both thought I
                    referred to the vista. 
            
            
                 It's strange how one can write delightedly of the happier moments of ",",
                    forgetting the things that one would forget by remembering fully the things one
                    would remember, and suddenly the forgotten, in revenge, rears up to savage the
                    unwary. So it was as I wrote the preceding.",life,living,-1.5859375,-6.59375,1.5859375,6.59375,5.0078125,[1495],[3811],"[""Ġlife""]","[""Ġliving""]",1,1,4.03125,4.0625,334.0,336.0,83,83,0.03125,-4.03125,-4.0625,0.03125
23,swords,"If I am not, I had the perfect mirror
                    for my narcissism. 
                 As for the issue itself, I'm no longer sure what I want to record. The
                    playwright in me wants every scene of our time together.","If I am not, I had the perfect mirror
                    for my narcissism. 
                 As for the issue itself, I'm no longer sure what I want to log. The
                    playwright in me wants every scene of our time together.","If I am not, I had the perfect mirror
                    for my narcissism. 
                 As for the issue itself, I'm no longer sure what I want to ",". The
                    playwright in me wants every scene of our time together.",record,log,-11.0,-11.125,11.0,11.125,0.125,[1924],[2412],"[""Ġrecord""]","[""Ġlog""]",1,1,3.703125,3.796875,185.0,190.0,50,50,0.09375,-3.703125,-3.796875,0.09375
24,swords,"I do not plan to write a book: this narrative must move more quickly. Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried.","I do not plan to write a book: this narrative must move more quickly. Tasha and
                    I became lovers that evening, after a excellent dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried.","I do not plan to write a book: this narrative must move more quickly. Tasha and
                    I became lovers that evening, after a "," dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried.",good,excellent,-5.125,-14.3125,5.125,14.3125,9.1875,[1175],[7126],"[""Ġgood""]","[""Ġexcellent""]",1,1,4.0625,4.15625,255.0,262.0,63,63,0.09375,-4.0625,-4.15625,0.09375
25,swords,"Malaquez answered the door in blood-red pajamas and a black silk robe. Sixty
                    years ago in a similar situation, I had broken my knuckles on someone's face. I
                    merely said, ""Is Tasha here?""","Malaquez answered the door in blood-red pajamas and a black silk robe. Sixty
                    years ago in a similar situation, I had damage my knuckles on someone's face. I
                    merely said, ""Is Tasha here?""","Malaquez answered the door in blood-red pajamas and a black silk robe. Sixty
                    years ago in a similar situation, I had "," my knuckles on someone's face. I
                    merely said, ""Is Tasha here?""",broken,damage,-7.21875,-16.25,7.21875,16.25,9.03125,[7154],[4723],"[""Ġbroken""]","[""Ġdamage""]",1,1,3.71875,3.828125,193.0,199.0,52,52,0.109375,-3.71875,-3.828125,0.109375
28,swords,"The publishers in Monterrey command no battalions, but they agreed to express their outrage with editorials in today's editions.
Many will use a common editorial.
A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""","The publishers in Monterrey command no battalions, but they agreed to express their outrage with editorials in today's editions.
Many will use a ordinary editorial.
A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""","The publishers in Monterrey command no battalions, but they agreed to express their outrage with editorials in today's editions.
Many will use a "," editorial.
A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""",common,ordinary,-5.21875,-14.5625,5.21875,14.5625,9.34375,[1846],[9826],"[""Ġcommon""]","[""Ġordinary""]",1,1,3.71875,3.828125,334.0,344.0,90,90,0.109375,-3.71875,-3.828125,0.109375
29,swords,"Stepping into the living room, he said, ""A beautiful house."" 
                 ""I'm glad you came after dark."" 
                 Tasha, by accident or design, had found an innocently erotic posture on the
                    couch, where she lay with a book of M'duvian prints.","Stepping into the living room, he said, ""A beautiful house."" 
                 ""I'm glad you came after dusk."" 
                 Tasha, by accident or design, had found an innocently erotic posture on the
                    couch, where she lay with a book of M'duvian prints.","Stepping into the living room, he said, ""A beautiful house."" 
                 ""I'm glad you came after ","."" 
                 Tasha, by accident or design, had found an innocently erotic posture on the
                    couch, where she lay with a book of M'duvian prints.",dark,dusk,-6.21875,-10.3125,6.21875,10.3125,4.09375,[3644],[47619],"[""Ġdark""]","[""Ġdusk""]",1,1,4.0,4.0625,248.0,252.0,62,62,0.0625,-4.0,-4.0625,0.0625
30,swords,"She did not like my plays. I had impressed her because I was famous and amusing
                    and not, as I had hoped, because I was a great artist. That bothered (yes, and
                    intrigued) me until I realized that she was bored by most plays, movies, and
                    vid.","She did not like my plays. I had impressed her because I was famous and amusing
                    and not, as I had hoped, because I was a excellent artist. That bothered (yes, and
                    intrigued) me until I realized that she was bored by most plays, movies, and
                    vid.","She did not like my plays. I had impressed her because I was famous and amusing
                    and not, as I had hoped, because I was a "," artist. That bothered (yes, and
                    intrigued) me until I realized that she was bored by most plays, movies, and
                    vid.",great,excellent,-3.203125,-12.4375,3.203125,12.4375,9.234375,[1270],[7126],"[""Ġgreat""]","[""Ġexcellent""]",1,1,3.625,3.84375,232.0,246.0,64,64,0.21875,-3.625,-3.84375,0.21875
31,swords,"No. I abandoned these notes to my future self to have the wipe done immediately,
                    thinking that Bernardo Flynn should receive such services when he needed them,
                    even should the need arise at the third hour after midnight. My mindsmith is not
                    so understanding.","No. I abandoned these notes to my future self to have the wipe done immediately,
                    thinking that Bernardo Flynn should receive such services when he require them,
                    even should the need arise at the third hour after midnight. My mindsmith is not
                    so understanding.","No. I abandoned these notes to my future self to have the wipe done immediately,
                    thinking that Bernardo Flynn should receive such services when he "," them,
                    even should the need arise at the third hour after midnight. My mindsmith is not
                    so understanding.",needed,require,-4.03125,-12.875,4.03125,12.875,8.84375,[3058],[2430],"[""Ġneeded""]","[""Ġrequire""]",1,1,4.65625,4.75,260.0,266.0,56,56,0.09375,-4.65625,-4.75,0.09375
32,swords,"""Where!"" I demanded, squeezing his throat
                    until he began jerking his head madly at the sculpture. 
                 I stared at the naked Tasha.","""Where!"" I demanded, squeezing his throat
                    until he start jerking his head madly at the sculpture. 
                 I stared at the naked Tasha.","""Where!"" I demanded, squeezing his throat
                    until he "," jerking his head madly at the sculpture. 
                 I stared at the naked Tasha.",began,start,-3.703125,-10.0,3.703125,10.0,6.296875,[3407],[1265],"[""Ġbegan""]","[""Ġstart""]",1,1,4.625,4.875,153.0,161.0,33,33,0.25,-4.625,-4.875,0.25
33,swords,"Probably not. But it is something marvelous and rare, which is surely a
                    sign of love. 
                 If my love for her was the only important thing, I would leave a holo of her
                    with a note: ""Dear Future, this is Tasha Cortez.","Probably not. But it is something marvelous and rare, which is clearly a
                    sign of love. 
                 If my love for her was the only important thing, I would leave a holo of her
                    with a note: ""Dear Future, this is Tasha Cortez.","Probably not. But it is something marvelous and rare, which is "," a
                    sign of love. 
                 If my love for her was the only important thing, I would leave a holo of her
                    with a note: ""Dear Future, this is Tasha Cortez.",surely,clearly,-6.75,-7.875,6.75,7.875,1.125,[13353],[4518],"[""Ġsurely""]","[""Ġclearly""]",1,1,3.796875,3.78125,224.0,223.0,59,59,-0.015625,-3.796875,-3.78125,-0.015625
34,swords,"""Results, Harmon?"" she suppressed the surge of annoyance that ran through her as
she contemplated the psi's gift of getting all the hot news first.

Harmon's face slowly animated - joy sweeping in to replace stern concentration.","""Results, Harmon?"" she suppressed the surge of annoyance that ran through her as
she contemplated the psi's gift of obtain all the hot news first.

Harmon's face slowly animated - joy sweeping in to replace stern concentration.","""Results, Harmon?"" she suppressed the surge of annoyance that ran through her as
she contemplated the psi's gift of "," all the hot news first.

Harmon's face slowly animated - joy sweeping in to replace stern concentration.",getting,obtain,-9.0,-14.3125,9.0,14.3125,5.3125,[2970],[4044],"[""Ġgetting""]","[""Ġobtain""]",1,1,4.71875,5.0625,236.0,253.0,50,50,0.34375,-4.71875,-5.0625,0.34375
36,swords,"The rental
                    agent, an attractive N'apulcan named Tasha Cortez, was not mood-sensitive
                    either. She said, ""It's beautiful, isn't it, Señor Flynn?"" 
                 My instinct was to gesture curtly with a cupped hand that she lift the wind boat
                    and take me elsewhere.","The rental
                    agent, an attractive N'apulcan named Tasha Cortez, was not mood-sensitive
                    either. She state, ""It's beautiful, isn't it, Señor Flynn?"" 
                 My instinct was to gesture curtly with a cupped hand that she lift the wind boat
                    and take me elsewhere.","The rental
                    agent, an attractive N'apulcan named Tasha Cortez, was not mood-sensitive
                    either. She ",", ""It's beautiful, isn't it, Señor Flynn?"" 
                 My instinct was to gesture curtly with a cupped hand that she lift the wind boat
                    and take me elsewhere.",said,state,-4.59375,-13.6875,4.59375,13.6875,9.09375,[753],[1375],"[""Ġsaid""]","[""Ġstate""]",1,1,4.4375,4.59375,314.0,326.0,71,71,0.15625,-4.4375,-4.59375,0.15625
37,swords,"Intelogic Trace Inc., San Antonio, Texas, said it bought 2.7 million shares, or about 18%, of its common stock from an unaffiliated shareholder for $3.625 a share, or $9.9 million.  

The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern. Mr. Ackerman already is seeking to oust Mr. Edelman as chairman of Datapoint Corp., an Intelogic affiliate.","Intelogic Trace Inc., San Antonio, Texas, said it bought 2.7 million shares, or about 18%, of its common stock from an unaffiliated shareholder for $3.625 a share, or $9.9 million.  

The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help stop Martin Ackerman from making a run at the computer-services concern. Mr. Ackerman already is seeking to oust Mr. Edelman as chairman of Datapoint Corp., an Intelogic affiliate.","Intelogic Trace Inc., San Antonio, Texas, said it bought 2.7 million shares, or about 18%, of its common stock from an unaffiliated shareholder for $3.625 a share, or $9.9 million.  

The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help "," Martin Ackerman from making a run at the computer-services concern. Mr. Ackerman already is seeking to oust Mr. Edelman as chairman of Datapoint Corp., an Intelogic affiliate.",prevent,stop,-5.875,-7.125,5.875,7.125,1.25,[3657],[3523],"[""Ġprevent""]","[""Ġstop""]",1,1,2.6875,2.703125,328.0,330.0,122,122,0.015625,-2.6875,-2.703125,0.015625
39,swords,"Tasha snatched it from him to rip away the paper. 
            
            
                 I stopped writing, and only the thought that I might miss the mindwipe kept me
                    from another spree. I went walking, but after N'apulco, Rio seems no fit abode
                    for a creature of flesh.","Tasha snatched it from him to rip away the paper. 
            
            
                 I stopped writing, and only the thought that I might neglect the mindwipe kept me
                    from another spree. I went walking, but after N'apulco, Rio seems no fit abode
                    for a creature of flesh.","Tasha snatched it from him to rip away the paper. 
            
            
                 I stopped writing, and only the thought that I might "," the mindwipe kept me
                    from another spree. I went walking, but after N'apulco, Rio seems no fit abode
                    for a creature of flesh.",miss,neglect,-4.375,-10.75,4.375,10.75,6.375,[2985],[18369],"[""Ġmiss""]","[""Ġneglect""]",1,1,4.53125,4.625,308.0,314.0,68,68,0.09375,-4.53125,-4.625,0.09375
40,swords,"""Oh?"" 
                 ""He'll be our neighbor. You say we're becoming too insular, that we need to
                    socialize --""","""Oh?"" 
                 ""He'll be our neighbour. You say we're becoming too insular, that we need to
                    socialize --""","""Oh?"" 
                 ""He'll be our ",". You say we're becoming too insular, that we need to
                    socialize --""",neighbor,neighbour,-6.8125,-8.3125,6.8125,8.3125,1.5,[6346],[14646],"[""Ġneighbor""]","[""Ġneighbour""]",1,1,4.125,4.21875,123.5,127.0,30,30,0.09375,-4.125,-4.21875,0.09375
